Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trey Murphy III,SF,21,NOP,6,0,120,9,22,0.409,9,19,0.474,0,3,0,0.614,4,5,0.8,3,12,15,3,3,1,1,9,31
Svi Mykhailiuk,SF,24,TOR,3,0,5,0,2,0,0,2,0,0,0,,0,1,1,1,0,1,1,0,0,0,0,1,1
Larry Nance Jr.,PF,29,NOP,6,0,130,22,39,0.564,2,9,0.222,20,30,0.667,0.59,9,11,0.818,19,16,35,11,3,2,6,15,55
Aaron Nesmith,SF,22,BOS,15,0,52,4,17,0.235,1,11,0.091,3,6,0.5,0.265,3,4,0.75,4,11,15,3,2,4,1,6,12
Georges Niang,PF,28,PHI,12,0,198,20,48,0.417,16,43,0.372,4,5,0.8,0.583,2,2,1,4,14,18,11,3,0,7,30,58
Zeke Nnaji,PF,21,DEN,2,0,9,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,2,3
Jaylen Nowell,SG,22,MIN,1,0,12,3,10,0.3,0,5,0,3,5,0.6,0.3,0,0,,0,0,0,1,1,0,0,1,6
Frank Ntilikina,SG,23,DAL,12,0,125,8,24,0.333,6,20,0.3,2,4,0.5,0.458,1,1,1,2,10,12,9,8,1,6,19,23
Jordan Nwora,SF,23,MIL,8,0,20,2,9,0.222,0,4,0,2,5,0.4,0.222,0,2,0,0,3,3,2,0,0,0,0,4
Royce O'Neale,SF,28,UTA,6,6,188,14,35,0.4,7,25,0.28,7,10,0.7,0.5,2,2,1,6,28,34,9,3,1,3,16,37
Josh Okogie,SG,23,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Onyeka Okongwu,C,21,ATL,5,1,108,9,16,0.563,0,0,,9,16,0.563,0.563,8,10,0.8,11,16,27,2,4,4,4,19,26
Victor Oladipo,SG,29,MIA,15,1,368,50,136,0.368,17,62,0.274,33,74,0.446,0.43,42,53,0.792,4,47,51,31,19,4,25,29,159
Eric Paschall,PF,25,UTA,4,0,24,3,6,0.5,1,2,0.5,2,4,0.5,0.583,1,1,1,1,4,5,0,1,0,0,3,8
Chris Paul,PG,36,PHO,13,13,448,87,155,0.561,19,49,0.388,68,106,0.642,0.623,35,37,0.946,7,47,54,108,19,2,31,40,228
Cameron Payne,PG,27,PHO,13,0,172,22,74,0.297,5,30,0.167,17,44,0.386,0.331,5,6,0.833,2,18,20,27,7,1,13,25,54
Elfrid Payton,PG,27,PHO,2,0,8,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,0,0,3,0,0,0,0,4
Gary Payton II,SG,29,GSW,12,2,203,29,44,0.659,8,15,0.533,21,29,0.724,0.75,12,18,0.667,13,24,37,16,14,7,6,23,78
