FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Langston Galloway,Pho,G,29.61,2,7.4,15.3,23.1,0,1,0,5,0.2,2,0,0.143,0.134,1,1,7.6,0.5,8.7,0,0.5,0,4.3,38.6,109.3
Chandler Hutchison,Was,F-G,25.23,2,9.1,19,15.8,14.5,2,1,5,0.4,0,0,0.4,0.51,3,1.5,9,0.5,7.5,0,0,0.5,5.8,96.6,112.2
Serge Ibaka,Lac,F,31.84,2,9.2,19.2,22.2,11.4,4,1,4,0.75,2,0,0.5,0.644,5,2,12.6,1,16.7,0.5,1.5,0.5,9.4,132.1,106.8
Derrick Jones Jr.,Por,F,24.43,2,5.3,10.9,21.5,0,0,0,3,0.667,2,0,0.4,0.4,2,0,0,0,0,0.5,0,0,0,84,98.5
Luke Kornet,Bos,F-C,26.02,2,2.7,5.6,14.7,0,2,0.5,1,1,0,0,1,0.798,1.5,1.5,32.1,0,0,0,0,0,0,,
Alfonzo McKinnie,Lal,F,28.84,2,5.9,12.2,11.5,0,0,0,1,0,2,0,0,0,0,0.5,4.8,0,0,0,0,0,0,0,104.9
Juwan Morgan,Uta,F,24.26,2,2.9,5.9,0,,0,0,0,0,0,0,,,0,1,20.4,0.5,21.2,0,0,0,0,,
Semi Ojeleye,Bos,F,26.63,2,6,12.5,17.2,0,2,0.5,1,0,3,0,0,0.102,0.5,0,0,0,0,0.5,0.5,0,0,25.5,118.3
KZ Okpala,Mia,F-G,22.23,2,2.9,6,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Elfrid Payton,Nyk,G,27.41,2,6.6,13.6,19.9,0,2,0.5,5,0,0,0,0,0.085,0.5,0,0,0.5,10.7,0.5,0,0,0,31.4,105
Max Strus,Mia,G-F,25.31,2,2.9,6,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Udoka Azubuike,Uta,C-F,21.84,1,1.2,2.5,0,,0,0,0,0,0,0,,,0,1,48.5,0,0,0,0,0,0,,
Tacko Fall,Bos,C,25.61,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,1,64.1,0,0,0,0,0,0,,
Harry Giles III,Por,F-C,23.25,1,3.6,7.5,50.1,75,0,0,1,0,0,0,0,0,0,3,48.1,0,0,0,0,3,0,,
Josh Green,Dal,G,20.67,1,4.2,8.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,123.5
Ersan Ilyasova,Uta,F,34.18,1,3.4,7.1,37.5,0,2,1,1,1,1,0,0.5,0.694,4,0,0,0,0,0,0,0,0,,
Kevin Knox II,Nyk,F,21.94,1,3.5,7.3,11.2,0,2,1,0,0,0,0,,1.136,2,1,15.1,1,39.9,0,1,0,14.4,,
John Konchar,Mem,G,25.33,1,2.8,5.8,15.1,0,0,0,0,0,1,0,0,0,0,1,19.7,0,0,0,1,0,0,,
Anthony Tolliver,Phi,F,36.14,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Rayjon Tucker,Phi,G,23.82,1,1.7,3.5,22.3,0,2,0.5,0,0,0,0,,0.568,1,0,0,0,0,0,0,0,0,,
Justise Winslow,Mem,F-G,25.32,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,1,19.7,1,38.8,0,0,0,0,,
Cassius Winston,Was,G,23.39,1,5.5,11.5,38,40,0,0,2,0.5,1,0,0.333,0.333,2,2,19.8,1,27.4,0,0,2,11.5,61.3,98.6
Ty-Shon Alexander,Pho,G,23.01,1,1.3,2.7,35.1,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
