FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Bruno Fernando,Atl,F-C,22.93,6,2,4.1,14.7,0,2,1,3,0.667,0,0,0.667,0.773,1,0.2,4.7,0,0,0,0,0,0,,
Nathan Knight,Atl,F-C,23.83,6,2.3,4.8,25.1,0,2,0,5,0.4,2,0,0.286,0.254,0.7,1,23.5,0,0,0,0.33,0,0,,
Grayson Allen,Mem,G,25.78,5,23.2,48.3,12.5,2.9,1,0,12,0.333,21,0.381,0.485,0.478,6.4,2.6,6.2,0.2,1.1,0.4,0.2,0.2,2.6,100.8,106.3
Kyle Anderson,Mem,F-G,27.83,5,28.4,59.2,14.2,8.4,4,0.75,30,0.5,12,0.25,0.464,0.48,8.4,5,9.7,3.2,14.2,2.8,0,0.8,7.2,107.5,104.8
Desmond Bane,Mem,G,23.07,5,19.8,41.3,9.4,13.6,0,0,7,0.714,12,0.5,0.737,0.737,5.6,3.4,9.5,2,12.5,0.8,0.4,0.6,6.8,137.5,108.7
RJ Barrett,Nyk,F-G,21.1,5,32.3,67.4,20.7,2.6,15,0.8,39,0.462,28,0.286,0.448,0.489,14.4,7.2,11.8,3,16.7,0.8,0.4,0.4,8.4,111.1,103.5
Bradley Beal,Was,G,28.06,5,39.1,81.4,34,12.6,36,0.861,91,0.538,32,0.219,0.484,0.54,30,6.2,8.6,4.2,19.2,0.8,0.6,4,9.4,102.1,114.4
Dillon Brooks,Mem,G-F,25.49,5,34.9,72.8,28.4,7.7,26,0.808,77,0.545,20,0.4,0.557,0.595,25.8,4.2,6.6,2.2,9.9,1.4,0.4,1.8,7.1,114.8,106.3
Reggie Bullock,Nyk,G-F,30.35,5,32.5,67.7,12.3,8.8,5,0.8,10,0.5,29,0.345,0.513,0.534,8.8,3.4,5.5,1.2,5.9,0.6,0.2,0.8,4.1,109.9,107.6
Alec Burks,Nyk,G,30,5,25.6,53.3,23.7,5.9,19,0.737,32,0.5,24,0.333,0.5,0.544,14,5,10.3,2.6,19.2,0.2,0,0.8,8.9,116.9,103.8
Kentavious Caldwell-Pope,Lal,G,28.42,5,29.1,60.7,10.2,6,5,1,10,0.7,19,0.211,0.448,0.497,6.2,2.8,5.4,1,5.4,1,0,0.4,3.6,106.6,100.9
Vlatko Cancar,Den,F,24.28,5,4.2,8.7,13,16.1,5,0.8,2,1,1,1,1.167,1.058,2.2,0.6,8.1,0.2,6.7,0.2,0.2,0.2,6.1,172.1,116.3
Anthony Davis,Lal,F-C,28.36,5,28.8,60,26.8,6.9,42,0.833,51,0.451,11,0.182,0.419,0.541,17.4,6.6,13,2.6,16.7,0.6,1.6,1.2,9.3,116.4,103.6
Andre Drummond,Lal,C,27.95,5,21,43.7,20.2,23.2,10,0.7,32,0.594,0,0,0.594,0.618,9,11,29.6,0,0,0.8,0.6,2.2,0,107.9,92.9
Evan Fournier,Bos,G-F,28.72,5,33.3,69.4,18.6,6.8,12,0.833,33,0.424,30,0.433,0.532,0.564,15.4,3.6,6.2,1.4,6.6,1.2,0,1,5.1,115.2,105.7
Daniel Gafford,Was,F-C,22.8,5,23.4,48.8,14.1,7.6,24,0.625,26,0.846,0,0,0.846,0.807,11.8,5.8,13.5,0.6,3.9,1,2,0.6,5.9,158.2,101.1
Marc Gasol,Lal,C,36.47,5,17.5,36.5,9.6,21.3,4,0.75,2,0.5,11,0.636,0.885,0.881,5.2,3.8,12.3,3,27.5,0.8,0.8,0.8,8.9,155.4,89.2
Taj Gibson,Nyk,F,36.07,5,27.6,57.5,7.5,12.8,1,1,20,0.6,0,0,0.6,0.612,5,7,13.4,0.8,4.6,1.6,1,0.6,4.4,135.2,99.9
Rui Hachimura,Was,F,23.45,5,34.6,72.2,13.8,8.7,12,0.583,32,0.625,15,0.6,0.713,0.708,14.8,7.2,11.3,1,4.3,0.4,0.2,1,5.5,129.8,106.1
Rondae Hollis-Jefferson,Por,F,26.55,5,7.1,14.8,8,0,3,0.667,5,0.8,0,0,0.8,0.791,2,1.6,13,0,0,0.2,0.2,0,0,173.2,104.4
De'Andre Hunter,Atl,F-G,23.63,5,30.3,63.2,17.2,11.9,16,0.75,29,0.414,16,0.375,0.467,0.519,10.8,4,7.2,0.6,2.9,0.2,0.6,1.4,3.9,98,110.1
Jaren Jackson Jr.,Mem,F-C,21.85,5,27.5,57.3,20,6.2,16,0.875,26,0.577,28,0.286,0.5,0.557,13.6,5.6,11.3,1,4.8,1,1.2,0.8,6.2,116.9,99.1
Alize Johnson,Bro,F,25.24,5,4.5,9.5,20,30,0,0,7,0.571,0,0,0.571,0.571,1.6,2.6,31.6,0,0,0.6,0,0.6,0,90.4,97
Tyus Jones,Mem,G,25.2,5,9.3,19.5,16.2,0,2,1,13,0.385,4,0.25,0.382,0.419,3,1.4,8.3,1.2,16.2,0.2,0,0,7.4,107.3,114.9
