Number,Module,Q1.a,Q1.b,Q2,Q3,Total
c21089808,CMT309,16,13,30,22,81
c21084173,CMT309,20,18,30,18,86
c21094220,CMT309,20,19,30,16,85
c21053774,CMT309,16,16,26,7,65
c21043704,CMT309,14,16,26,12,68
c21044848,CMT309,18,16,27,27,88
c21040520,CMT309,16,16,27,16,75
c2090813,CMT309,20,16,27,16,79
c21028589,CMT309,18,18,30,30,96
c21052217,CMT309,11,12,26,12,61
c1987582,CMT309,11,0,27,14,52
c2095731,CMT309,16,0,27,11,54
c2106528,CMT309,16,0,27,19,62
c1998784,CMT309,18,19,30,30,97
c2014697,CMT309,11,10,27,19,67
c21105789,CMT309,20,10,27,14,71
c21125308,CMT314,20,18,30,NA,97.14
c21044259,CMT314,18,7,30,NA,78.57
c21128747,CMT314,17,16,27,NA,85.71
c1861862,CMT314,12,0,27,NA,55.71
c21134025,CMT314,18,18,27,NA,90
c21133818,CMT314,20,18,30,NA,97.14
